================================================================================
                          实验结果报告
================================================================================
算法名称: PSO粒子群算法
实验次数: 第 4 次
实验时间: 2025-12-22 14:24:19

【参数配置】
PSOParameters{
  swarmSize=100, w=0.70, c1=1.50, c2=1.50
  maxStagnantStep=30000 (早停阈值), maxRunTime=3.0分钟
}

================================================================================
                        PSO算法开始运行
================================================================================
粒子群大小: 100
惯性权重 w: 0.7
个体学习因子 c1: 1.5
社会学习因子 c2: 1.5
最大停滞步数: 30000
最大运行时间: 3.0 分钟
================================================================================

[初始化] 生成初始粒子群...
[初始化] 初始最优 Makespan: 36277.83

开始迭代优化...

代数 2080 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 686
代数 2090 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 696
代数 2100 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 706
代数 2110 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 716
代数 2120 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 726
代数 2130 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 736
代数 2140 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 746
代数 2150 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 756
代数 2160 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 766
代数 2170 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 776
代数 2180 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 786
代数 2190 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 796
代数 2200 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 806
代数 2210 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 816
代数 2220 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 826
代数 2230 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 836
代数 2240 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 846
代数 2250 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 856
