================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 3 次
实验时间: 2025-12-21 20:06:32

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 50个零件, 3台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 71964.44
初始种群平均解: Makespan = 93253.29

Gen 4800 | 最优: 57140.18 | 平均: 82655.88 | 改进: 0.00 | 停滞: 4078/300000 | 耗时: 1.9分钟
Gen 4850 | 最优: 57140.18 | 平均: 82352.85 | 改进: 0.00 | 停滞: 4128/300000 | 耗时: 1.9分钟
Gen 4900 | 最优: 57140.18 | 平均: 81612.30 | 改进: 0.00 | 停滞: 4178/300000 | 耗时: 1.9分钟
Gen 4950 | 最优: 57140.18 | 平均: 81313.37 | 改进: 0.00 | 停滞: 4228/300000 | 耗时: 2.0分钟
Gen 5000 | 最优: 57140.18 | 平均: 81566.98 | 改进: 0.00 | 停滞: 4278/300000 | 耗时: 2.0分钟
Gen 5050 | 最优: 57140.18 | 平均: 81490.41 | 改进: 0.00 | 停滞: 4328/300000 | 耗时: 2.0分钟
Gen 5100 | 最优: 57140.18 | 平均: 82905.09 | 改进: 0.00 | 停滞: 4378/300000 | 耗时: 2.0分钟
Gen 5150 | 最优: 57140.18 | 平均: 81461.23 | 改进: 0.00 | 停滞: 4428/300000 | 耗时: 2.0分钟
Gen 5200 | 最优: 57140.18 | 平均: 82127.49 | 改进: 0.00 | 停滞: 4478/300000 | 耗时: 2.1分钟
Gen 5250 | 最优: 57140.18 | 平均: 81180.76 | 改进: 0.00 | 停滞: 4528/300000 | 耗时: 2.1分钟
Gen 5300 | 最优: 57140.18 | 平均: 82752.45 | 改进: 0.00 | 停滞: 4578/300000 | 耗时: 2.1分钟
Gen 5350 | 最优: 57140.18 | 平均: 82362.70 | 改进: 0.00 | 停滞: 4628/300000 | 耗时: 2.1分钟
Gen 5400 | 最优: 57140.18 | 平均: 82092.55 | 改进: 0.00 | 停滞: 4678/300000 | 耗时: 2.1分钟
Gen 5450 | 最优: 57140.18 | 平均: 81794.21 | 改进: 0.00 | 停滞: 4728/300000 | 耗时: 2.2分钟
Gen 5500 | 最优: 57140.18 | 平均: 82088.13 | 改进: 0.00 | 停滞: 4778/300000 | 耗时: 2.2分钟
Gen 5550 | 最优: 57140.18 | 平均: 80698.54 | 改进: 0.00 | 停滞: 4828/300000 | 耗时: 2.2分钟
Gen 5600 | 最优: 57140.18 | 平均: 81697.24 | 改进: 0.00 | 停滞: 4878/300000 | 耗时: 2.2分钟
Gen 5650 | 最优: 57140.18 | 平均: 82441.65 | 改进: 0.00 | 停滞: 4928/300000 | 耗时: 2.2分钟
Gen 5700 | 最优: 57140.18 | 平均: 81895.84 | 改进: 0.00 | 停滞: 4978/300000 | 耗时: 2.3分钟
Gen 5750 | 最优: 57140.18 | 平均: 82481.02 | 改进: 0.00 | 停滞: 5028/300000 | 耗时: 2.3分钟
Gen 5800 | 最优: 57140.18 | 平均: 81147.30 | 改进: 0.00 | 停滞: 5078/300000 | 耗时: 2.3分钟
