迭代次数,Cmax
2097,230784.6000
2098,230784.6000
2099,230784.6000
2100,230784.6000
2101,230784.6000
2102,230784.6000
2103,230784.6000
2104,230784.6000
2105,230784.6000
2106,230784.6000
2107,230784.6000
2108,230784.6000
2109,230784.6000
2110,230784.6000
2111,230784.6000
2112,230784.6000
2113,230784.6000
2114,230784.6000
2115,230784.6000
2116,230784.6000
2117,230784.6000
2118,230784.6000
2119,230784.6000
2120,230784.6000
2121,230784.6000
2122,230784.6000
2123,230784.6000
2124,230784.6000
2125,230784.6000
2126,230784.6000
2127,230784.6000
2128,230784.6000
2129,230784.6000
2130,230784.6000
2131,230784.6000
2132,230784.6000
2133,230784.6000
2134,230784.6000
2135,230784.6000
2136,230784.6000
2137,230784.6000
2138,230784.6000
2139,230784.6000
2140,230784.6000
2141,230784.6000
2142,230784.6000
2143,230784.6000
2144,230784.6000
2145,230784.6000
2146,230784.6000
2147,230784.6000
2148,230784.6000
2149,230784.6000
2150,230784.6000
2151,230784.6000
2152,230784.6000
2153,230784.6000
2154,230784.6000
2155,230784.6000
2156,230784.6000
2157,230784.6000
2158,230784.6000
2159,230784.6000
2160,230784.6000
2161,230784.6000
2162,230784.6000
2163,230784.6000
2164,230784.6000
2165,230784.6000
2166,230784.6000
2167,230784.6000
2168,230784.6000
2169,230784.6000
2170,230784.6000
2171,230784.6000
2172,230784.6000
2173,230784.6000
2174,230784.6000
2175,230784.6000
2176,230784.6000
2177,230784.6000
2178,230784.6000
2179,230784.6000
2180,230784.6000
2181,230784.6000
2182,230784.6000
2183,230784.6000
2184,230784.6000
2185,230784.6000
2186,230784.6000
2187,230784.6000
2188,230784.6000
2189,230784.6000
2190,230784.6000
2191,230784.6000
2192,230784.6000
2193,230784.6000
2194,230784.6000
2195,230784.6000
2196,230784.6000
2197,230784.6000
2198,230784.6000
2199,230784.6000
2200,230784.6000
2201,230784.6000
2202,230784.6000
2203,230784.6000
2204,230784.6000
2205,230784.6000
2206,230784.6000
2207,230784.6000
2208,230784.6000
2209,230784.6000
2210,230784.6000
2211,230784.6000
2212,230784.6000
2213,230784.6000
2214,230784.6000
2215,230784.6000
2216,230784.6000
2217,230784.6000
2218,230784.6000
2219,230784.6000
2220,230784.6000
2221,230784.6000
2222,230784.6000
2223,230784.6000
2224,230784.6000
2225,230784.6000
2226,230784.6000
2227,230784.6000
2228,230784.6000
2229,230784.6000
2230,230784.6000
2231,230784.6000
2232,230784.6000
2233,230784.6000
2234,230784.6000
2235,230784.6000
2236,230784.6000
2237,230784.6000
2238,230784.6000
2239,230784.6000
2240,230784.6000
2241,230784.6000
2242,230784.6000
2243,230784.6000
2244,230784.6000
2245,230784.6000
2246,230784.6000
2247,230784.6000
2248,230784.6000
2249,230784.6000
2250,230784.6000
2251,230784.6000
2252,230784.6000
2253,230784.6000
2254,230784.6000
2255,230784.6000
2256,230784.6000
2257,230784.6000
2258,230784.6000
2259,230784.6000
2260,230784.6000
2261,230784.6000
2262,230784.6000
2263,230784.6000
2264,230784.6000
2265,230784.6000
2266,230784.6000
2267,230784.6000
2268,230784.6000
2269,230784.6000
2270,230784.6000
2271,230784.6000
2272,230784.6000
2273,230784.6000
2274,230784.6000
2275,230784.6000
2276,230784.6000
2277,230784.6000
2278,230784.6000
2279,230784.6000
2280,230784.6000
2281,230784.6000
2282,230784.6000
2283,230784.6000
2284,230784.6000
2285,230784.6000
2286,230784.6000
2287,230784.6000
2288,230784.6000
2289,230784.6000
2290,230784.6000
2291,230784.6000
2292,230784.6000
2293,230784.6000
2294,230784.6000
2295,230784.6000
2296,230784.6000
2297,230784.6000
2298,230784.6000
2299,230784.6000
2300,230784.6000
2301,230784.6000
2302,230784.6000
2303,230784.6000
2304,230784.6000
2305,230784.6000
2306,230784.6000
2307,230784.6000
2308,230784.6000
2309,230784.6000
2310,230784.6000
2311,230784.6000
2312,230784.6000
2313,230784.6000
2314,230784.6000
2315,230784.6000
2316,230784.6000
2317,230784.6000
2318,230784.6000
2319,230784.6000
2320,230784.6000
2321,230784.6000
2322,230784.6000
2323,230784.6000
2324,230784.6000
2325,230784.6000
2326,230784.6000
2327,230784.6000
2328,230784.6000
2329,230784.6000
2330,230784.6000
2331,230784.6000
2332,230784.6000
2333,230784.6000
2334,230784.6000
2335,230784.6000
2336,230784.6000
2337,230784.6000
2338,230784.6000
2339,230784.6000
2340,230784.6000
2341,230784.6000
2342,230784.6000
2343,230784.6000
2344,230784.6000
2345,230784.6000
2346,230784.6000
2347,230784.6000
2348,230784.6000
2349,230784.6000
2350,230784.6000
2351,230784.6000
2352,230784.6000
2353,230784.6000
2354,230784.6000
2355,230784.6000
2356,230784.6000
2357,230784.6000
2358,230784.6000
2359,230784.6000
2360,230784.6000
2361,230784.6000
2362,230784.6000
2363,230784.6000
2364,230784.6000
2365,230784.6000
2366,230784.6000
2367,230784.6000
2368,230784.6000
2369,230784.6000
2370,230784.6000
2371,230784.6000
2372,230784.6000
2373,230784.6000
2374,230784.6000
2375,230784.6000
2376,230784.6000
2377,230784.6000
2378,230784.6000
2379,230784.6000
2380,230784.6000
2381,230784.6000
2382,230784.6000
2383,230784.6000
2384,230784.6000
2385,230784.6000
2386,230784.6000
2387,230784.6000
2388,230784.6000
2389,230784.6000
2390,230784.6000
2391,230784.6000
2392,230784.6000
2393,230784.6000
2394,230784.6000
2395,230784.6000
2396,230784.6000
2397,230784.6000
2398,230784.6000
2399,230784.6000
2400,230784.6000
2401,230784.6000
2402,230784.6000
2403,230784.6000
2404,230784.6000
2405,230784.6000
2406,230784.6000
2407,230784.6000
2408,230784.6000
2409,230784.6000
2410,230784.6000
2411,230784.6000
2412,230784.6000
2413,230784.6000
2414,230784.6000
2415,230784.6000
2416,230784.6000
2417,230784.6000
2418,230784.6000
2419,230784.6000
2420,230784.6000
2421,230784.6000
2422,230784.6000
2423,230784.6000
2424,230784.6000
2425,230784.6000
2426,230784.6000
2427,230784.6000
2428,230784.6000
2429,230784.6000
2430,230784.6000
2431,230784.6000
2432,230784.6000
2433,230784.6000
2434,230784.6000
2435,230784.6000
2436,230784.6000
2437,230784.6000
2438,230784.6000
2439,230784.6000
2440,230784.6000
2441,230784.6000
2442,230784.6000
2443,230784.6000
2444,230784.6000
2445,230784.6000
2446,230784.6000
2447,230784.6000
2448,230784.6000
2449,230784.6000
2450,230784.6000
2451,230784.6000
2452,230784.6000
2453,230784.6000
2454,230784.6000
2455,230784.6000
2456,230784.6000
2457,230784.6000
2458,230784.6000
2459,230784.6000
2460,230784.6000
2461,230784.6000
2462,230784.6000
2463,230784.6000
2464,230784.6000
2465,230784.6000
2466,230784.6000
2467,230784.6000
2468,230784.6000
2469,230784.6000
2470,230784.6000
2471,230784.6000
2472,230784.6000
2473,230784.6000
2474,230784.6000
2475,230784.6000
2476,230784.6000
2477,230784.6000
2478,230784.6000
2479,230784.6000
2480,230784.6000
2481,230784.6000
2482,230784.6000
2483,230784.6000
2484,230784.6000
2485,230784.6000
2486,230784.6000
2487,230784.6000
2488,230784.6000
2489,230784.6000
2490,230784.6000
2491,230784.6000
2492,230784.6000
2493,230784.6000
2494,230784.6000
2495,230784.6000
2496,230784.6000
2497,230784.6000
2498,230784.6000
2499,230784.6000
2500,230784.6000
2501,230784.6000
2502,230784.6000
2503,230784.6000
2504,230784.6000
2505,230784.6000
2506,230784.6000
2507,230784.6000
2508,230784.6000
2509,230784.6000
2510,230784.6000
2511,230784.6000
2512,230784.6000
2513,230784.6000
2514,230784.6000
2515,230784.6000
2516,230784.6000
2517,230784.6000
2518,230784.6000
2519,230784.6000
2520,230784.6000
2521,230784.6000
2522,230784.6000
2523,230784.6000
2524,230784.6000
2525,230784.6000
2526,230784.6000
2527,230784.6000
2528,230784.6000
2529,230784.6000
2530,230784.6000
2531,230784.6000
2532,230784.6000
2533,230784.6000
2534,230784.6000
2535,230784.6000
2536,230784.6000
2537,230784.6000
2538,230784.6000
2539,230784.6000
2540,230784.6000
