TrialNo,TrialConfig,RunID,Cmax,AvgUtilization,TimeMs
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,6,500973.0000,0.8378,300099
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,7,498141.0000,0.8378,300032
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,8,493525.5000,0.8378,300021
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,10,496961.0000,0.8378,300031
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,9,505457.0000,0.8378,300080
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,2,496326.7500,0.8378,300030
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,1,501929.2500,0.8378,300076
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,3,503333.0000,0.8378,300046
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,5,512823.0000,0.8378,300017
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,4,514425.0000,0.8378,300029
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,6,505975.5000,0.8378,300103
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,7,501929.2500,0.8378,300043
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,8,494459.2500,0.8378,300050
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,9,488856.7500,0.8378,300042
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,10,503485.5000,0.8378,300022
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,1,504277.0000,0.7885,300022
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,2,523094.2500,0.8378,300063
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,3,516558.0000,0.8378,300044
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,4,523865.0000,0.8378,300029
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,5,516558.0000,0.8378,300043
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,6,493657.0000,0.8378,300017
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,7,524339.2500,0.8378,300022
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,8,506401.0000,0.8378,300036
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,9,489479.2500,0.8378,300016
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,10,506598.0000,0.8378,300019
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,1,508154.2500,0.8378,300055
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,2,508465.5000,0.8378,300014
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,3,528821.0000,0.8378,300044
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,4,516869.2500,0.8378,300017
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,5,501929.2500,0.8378,300042
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,6,491346.7500,0.8378,300039
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,7,485121.7500,0.8378,300037
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,8,511578.0000,0.8378,300047
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,9,509710.5000,0.8378,300054
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,10,508525.0000,0.8378,300023
