TrialConfig,Cmax,AvgUtilization,TimeMs
T23_pop150_pc0.8_pm0.1_N30_TS100_L10,494601.0000,0.8378,300046
T23_pop150_pc0.8_pm0.1_N30_TS100_L10,505975.5000,0.8378,300095
T23_pop150_pc0.8_pm0.1_N30_TS100_L10,530001.0000,0.8378,300082
T23_pop150_pc0.8_pm0.1_N30_TS100_L10,504419.2500,0.8378,300128
T23_pop150_pc0.8_pm0.1_N30_TS100_L10,486688.0000,0.8378,300061
T23_pop150_pc0.8_pm0.1_N30_TS100_L10,494601.0000,0.8378,300121
T24_pop150_pc0.8_pm0.1_N30_TS150_L20,517803.0000,0.8378,300089
T24_pop150_pc0.8_pm0.1_N30_TS150_L20,503174.2500,0.8378,300093
T24_pop150_pc0.8_pm0.1_N30_TS150_L20,498141.0000,0.8378,300027
T24_pop150_pc0.8_pm0.1_N30_TS150_L20,504985.0000,0.7885,300030
T24_pop150_pc0.8_pm0.1_N30_TS150_L20,497197.0000,0.8378,300089
T24_pop150_pc0.8_pm0.1_N30_TS150_L20,500973.0000,0.8378,300099
T24_pop150_pc0.8_pm0.1_N30_TS150_L20,498141.0000,0.8378,300032
T24_pop150_pc0.8_pm0.1_N30_TS150_L20,493525.5000,0.8378,300021
T24_pop150_pc0.8_pm0.1_N30_TS150_L20,496961.0000,0.8378,300031
T24_pop150_pc0.8_pm0.1_N30_TS150_L20,505457.0000,0.8378,300080
T25_pop150_pc0.9_pm0.2_N10_TS50_L30,496326.7500,0.8378,300030
T25_pop150_pc0.9_pm0.2_N10_TS50_L30,501929.2500,0.8378,300076
T25_pop150_pc0.9_pm0.2_N10_TS50_L30,503333.0000,0.8378,300046
T25_pop150_pc0.9_pm0.2_N10_TS50_L30,512823.0000,0.8378,300017
T25_pop150_pc0.9_pm0.2_N10_TS50_L30,514425.0000,0.8378,300029
T25_pop150_pc0.9_pm0.2_N10_TS50_L30,505975.5000,0.8378,300103
T25_pop150_pc0.9_pm0.2_N10_TS50_L30,501929.2500,0.8378,300043
T25_pop150_pc0.9_pm0.2_N10_TS50_L30,494459.2500,0.8378,300050
T25_pop150_pc0.9_pm0.2_N10_TS50_L30,488856.7500,0.8378,300042
T25_pop150_pc0.9_pm0.2_N10_TS50_L30,503485.5000,0.8378,300022
T26_pop150_pc0.9_pm0.2_N10_TS100_L10,504277.0000,0.7885,300022
T26_pop150_pc0.9_pm0.2_N10_TS100_L10,523094.2500,0.8378,300063
T26_pop150_pc0.9_pm0.2_N10_TS100_L10,516558.0000,0.8378,300044
T26_pop150_pc0.9_pm0.2_N10_TS100_L10,523865.0000,0.8378,300029
T26_pop150_pc0.9_pm0.2_N10_TS100_L10,516558.0000,0.8378,300043
T26_pop150_pc0.9_pm0.2_N10_TS100_L10,493657.0000,0.8378,300017
T26_pop150_pc0.9_pm0.2_N10_TS100_L10,524339.2500,0.8378,300022
T26_pop150_pc0.9_pm0.2_N10_TS100_L10,506401.0000,0.8378,300036
T26_pop150_pc0.9_pm0.2_N10_TS100_L10,489479.2500,0.8378,300016
T26_pop150_pc0.9_pm0.2_N10_TS100_L10,506598.0000,0.8378,300019
T27_pop150_pc0.9_pm0.2_N10_TS150_L20,508154.2500,0.8378,300055
T27_pop150_pc0.9_pm0.2_N10_TS150_L20,508465.5000,0.8378,300014
T27_pop150_pc0.9_pm0.2_N10_TS150_L20,528821.0000,0.8378,300044
T27_pop150_pc0.9_pm0.2_N10_TS150_L20,516869.2500,0.8378,300017
T27_pop150_pc0.9_pm0.2_N10_TS150_L20,501929.2500,0.8378,300042
T27_pop150_pc0.9_pm0.2_N10_TS150_L20,491346.7500,0.8378,300039
T27_pop150_pc0.9_pm0.2_N10_TS150_L20,485121.7500,0.8378,300037
T27_pop150_pc0.9_pm0.2_N10_TS150_L20,511578.0000,0.8378,300047
T27_pop150_pc0.9_pm0.2_N10_TS150_L20,509710.5000,0.8378,300054
T27_pop150_pc0.9_pm0.2_N10_TS150_L20,508525.0000,0.8378,300023
